key,zh,en,zh_Hant,ru,ko,ja
app_title,The Bazaar Gate,The Bazaar Gate,The Bazaar Gate,The Bazaar Gate,The Bazaar Gate,The Bazaar Gate
title_with_emoji,🎮 The Bazaar Gate,🎮 The Bazaar Gate,🎮 The Bazaar Gate,🎮 The Bazaar Gate,🎮 The Bazaar Gate,🎮 The Bazaar Gate
game_folder_label,📁 游戏目录,📁 Game Directory,📁 遊戲目錄,📁 Каталог гри,📁 게임 디렉토리,📁 ゲームディレクトリ
browse_button,浏览,Browse,瀏覽,Обзор,찾아보기,参照
launcher_folder_label,🚀 启动器目录,🚀 Launcher Directory,🚀 啟動器目錄,🚀 Каталог лаунчера,🚀 런처 디렉토리,🚀 ランチャーディレクトリ
start_game_button,🎯 启动游戏,🎯 Start Game,🎯 啟動遊戲,🎯 Запустить игру,🎯 게임 시작,🎯 ゲーム開始
status_ready,✅ 就绪,✅ Ready,✅ 就緒,✅ Готово,✅ 준비,✅ 準備完了
log_frame_title,📋 运行日志,📋 Operation Log,📋 執行日誌,📋 Журнал операций,📋 작업 로그,📋 ログ
program_started,程序已启动，请设置路径后点击启动按钮,Program started please set paths and click the start button,程式已啟動，請設定路徑後點擊啟動按鈕,Программа запущена, установите пути и нажмите кнопку запуска,프로그램이 시작되었습니다. 경로를 설정한 후 시작 버튼을 클릭하세요,プログラムが開始されました。パス設定後、開始ボタンをクリックしてください
detected_default_game_path,检测到默认游戏路径: {},Detected default game path: {},偵測到預設遊戲路徑：{},Обнаружен путь по умолчанию: {},기본 게임 경로 감지: {},デフォルトのゲームパスが検出されました：{}
no_game_exe_error,所选目录中没有找到 TheBazaar.exe！,TheBazaar.exe not found in selected directory!,所選目錄中沒有找到 TheBazaar.exe！,В выбранном каталоге TheBazaar.exe не найден！,선택한 디렉토리에서 TheBazaar.exe를 찾을 수 없습니다！,選択したディレクトリに TheBazaar.exe が見つかりません！
game_exe_not_found_error,错误: 所选目录中没有找到游戏执行文件,Error Game executable not found in selected directory,錯誤：所選目錄中沒有找到遊戲執行檔,Ошибка: исполняемый файл игры не найден,오류: 선택한 디렉토리에서 게임 실행 파일을 찾을 수 없습니다,エラー：選択したディレクトリにゲーム実行ファイルが見つかりません
no_launcher_error,所选目录中没有找到 Tempo Launcher 启动器！,Tempo Launcher not found in selected directory!,所選目錄中沒有找到 Tempo Launcher 啟動器！,Tempo Launcher не найден в выбранном каталоге！,선택한 디렉토리에서 Tempo Launcher를 찾을 수 없습니다！,選択したディレクトリに Tempo Launcher が見つかりません！
launcher_exe_not_found_error,错误: 所选目录中没有找到启动器执行文件,Error Launcher executable not found,錯誤：所選目錄中沒有找到啟動器執行檔,Ошибка: исполняемый файл лаунчера не найден,오류: 선택한 디렉토리에서 런처 실행 파일을 찾을 수 없습니다,エラー：選択したディレクトリにランチャー実行ファイルが見つかりません
settings_loaded,已加载保存的设置,Settings loaded,已載入儲存的設定,Настройки загружены,설정이 로드되었습니다,設定が読み込まれました
load_settings_failed,加载设置失败: {},Failed to load settings: {},載入設定失敗：{},Не удалось загрузить настройки: {},설정 로드 실패: {},設定の読み込みに失敗しました：{}
save_settings_failed,保存设置失败: {},Failed to save settings: {},儲存設定失敗：{},Не удалось сохранить настройки: {},설정 저장 실패: {},設定の保存に失敗しました：{}
detected_mod,  检测到: {},  Detected: {},  偵測到：{},  Обнаружено：{},  감지됨：{},  検出されました：{}
found_mod_files,发现 {} 个模组文件/文件夹，开始备份...,Found {} mod files/folders starting backup...,發現 {} 個模組檔案/資料夾，開始備份...,Найдено {} мод-файлов/папок, начинается резервное копирование...,{}개의 모드 파일/폴더 발견, 백업 시작...,{}個のモッドファイル/フォルダを発見、バックアップを開始...
backup_success,已备份: {},Backed up: {},已備份：{},Создана резервная копия：{},백업됨：{},バックアップ完了：{}
backup_failed,备份失败 {}: {},Backup failed {}: {},備份失敗 {}：{},Ошибка резервного копирования {}：{},백업 실패 {}：{},バックアップ失敗 {}：{}
delete_failed,删除失败 {}: {},Delete failed {}: {},刪除失敗 {}：{},Ошибка удаления {}：{},삭제 실패 {}：{},削除失敗 {}：{}
no_backup_folder,没有找到备份文件夹,No backup folder found,沒有找到備份資料夾,Папка резервной копии не найдена,백업 폴더를 찾을 수 없습니다,バックアップフォルダが見つかりません
restoring_mods,正在恢复模组文件...,Restoring mod files...,正在恢復模組檔案...,Восстановление мод-файлов...,모드 파일 복원 중...,モッドファイル復元中...
restored_success,已恢复: {},Restored: {},已恢復：{},Восстановлено：{},복원됨：{},復元完了：{}
restore_failed,恢复失败 {}: {},Restore failed {}: {},恢復失敗 {}：{},Ошибка восстановления {}：{},복원 실패 {}：{},復元失敗 {}：{}
backup_folder_cleaned,已清理备份文件夹,Backup folder cleaned,已清理備份資料夾,Папка резервной копии очищена,백업 폴더가 정리되었습니다,バックアップフォルダがクリーンアップされました
close_process_failed,关闭进程失败: {},Failed to close process: {},關閉進程失敗：{},Не удалось закрыть процесс：{},프로세스 닫기 실패：{},プロセスの終了に失敗しました：{}
waiting_launcher_window,等待启动器窗口出现...,Waiting for launcher window...,等待啟動器視窗出現...,Ожидание окна лаунчера...,런처 창 대기 중...,ランチャーウィンドウ待機中...
no_launcher_window_detected,未检测到启动器窗口，继续等待游戏启动...,Launcher window not detected waiting for game start...,未偵測到啟動器視窗，繼續等待遊戲啟動...,Окно лаунчера не обнаружено, ожидание запуска игры...,런처 창이 감지되지 않음, 게임 시작 대기 중...,ランチャーウィンドウが検出されません、ゲームの起動を待機中...
timeout_no_game,超时：{}秒内未检测到游戏启动（您是否点击了PLAY按钮？）,Timeout Game did not start within {} seconds Did you click the PLAY button?,超時：{}秒內未偵測到遊戲啟動（您是否點擊了PLAY按鈕？）,Тайм-аут: игра не запустилась за {} секунд (вы нажали кнопку PLAY?),시간 초과：{}초 이내에 게임이 시작되지 않음 (PLAY 버튼을 클릭했나요?),タイムアウト：{}秒以内にゲームが起動しませんでした（PLAYボタンをクリックしましたか？）
game_detected,✓ 检测到游戏已启动 (PID: {}),✓ Game detected (PID: {}),✓ 偵測到遊戲已啟動 (PID: {}),✓ Игра обнаружена (PID: {}),✓ 게임 감지됨 (PID: {}),✓ ゲームが検出されました (PID: {})
capture_params_success,成功捕获启动参数,Captured launch parameters successfully,成功擷取啟動參數,Параметры запуска успешно захвачены,시작 매개변수 캡처 성공,起動パラメータのキャプチャに成功
cannot_get_cmdline,无法获取命令行参数,Cannot get command line parameters,無法取得命令列參數,Не удалось получить параметры командной строки,명령줄 매개변수를 가져올 수 없습니다,コマンドラインパラメータを取得できません
capture_params_failed,捕获参数失败: {},Failed to capture parameters: {},擷取參數失敗：{},Не удалось захватить параметры：{},매개변수 캡처 실패：{},パラメータのキャプチャに失敗しました：{}
game_exe_not_exists,游戏执行文件不存在: {},Game executable does not exist: {},遊戲執行檔不存在：{},Исполняемый файл игры не существует：{},게임 실행 파일이 존재하지 않습니다：{},ゲーム実行ファイルが存在しません：{}
launching_game_with_params,使用捕获的参数启动游戏...,Launching game with captured parameters...,使用擷取的參數啟動遊戲...,Запуск игры с захваченными параметрами...,캡처한 매개변수로 게임 시작 중...,キャプチャしたパラメータでゲームを開始中...
launch_game_failed,启动游戏失败: {},Failed to launch game: {},啟動遊戲失敗：{},Не удалось запустить игру：{},게임 시작 실패：{},ゲームの起動に失敗しました：{}
game_started_success,游戏已成功启动！,Game started successfully!,遊戲已成功啟動！,Игра успешно запущена！,게임이 성공적으로 시작되었습니다！,ゲームが正常に起動しました！
please_set_game_path,请先设置游戏目录！,Please set the game directory first!,請先設定遊戲目錄！,Сначала установите каталог игры！,먼저 게임 디렉토리를 설정하세요！,まずゲームディレクトリを設定してください！
please_set_launcher_path,请先设置启动器目录！,Please set the launcher directory first!,請先設定啟動器目錄！,Сначала установите каталог лаунчера！,먼저 런처 디렉토리를 설정하세요！,まずランチャーディレクトリを設定してください！
game_exe_missing,游戏中没有找到 TheBazaar.exe 路径: {},TheBazaar.exe not found in game Path: {},遊戲中沒有找到 TheBazaar.exe 路徑：{},TheBazaar.exe не найден в пути к игре：{},게임에서 TheBazaar.exe 경로를 찾을 수 없습니다：{},ゲームに TheBazaar.exe パスが見つかりません：{}
please_set_launcher_dir,请设置启动器目录！,Please set the launcher directory!,請設定啟動器目錄！,Установите каталог лаунчера！,런처 디렉토리를 설정하세요！,ランチャーディレクトリを設定してください！
launcher_not_found_in_dir,启动器目录中没有找到 Tempo Launcher 启动器！ 目录: {},Tempo Launcher not found in launcher directory Directory: {},啟動器目錄中沒有找到 Tempo Launcher 啟動器！ 目錄：{},Tempo Launcher не найден в каталоге лаунчера！ Каталог：{},런처 디렉토리에서 Tempo Launcher를 찾을 수 없습니다！ 디렉토리：{},ランチャーディレクトリで Tempo Launcher が見つかりません！ ディレクトリ：{}
start_auto_process,开始自动启动流程,Start auto launch process,開始自動啟動流程,Начало автоматического процесса запуска,자동 시작 프로세스 시작,自動起動プロセスの開始
step1_check_mods,【步骤1】检查并处理模组文件,【Step 1】Check and process mod files,【步驟1】檢查並處理模組檔案,【Шаг 1】Проверка и обработка мод-файлов,【1단계】모드 파일 확인 및 처리,【ステップ1】モッドファイルのチェックと処理
detected_mod_count,检测到 {} 个模组文件/文件夹,Detected {} mod files/folders,偵測到 {} 個模組檔案/資料夾,Обнаружено {} мод-файлов/папок,{}개의 모드 파일/폴더 감지됨,{}個のモッドファイル/フォルダが検出されました
mods_backup_deleted,模组文件已备份并删除,Mod files backed up and deleted,模組檔案已備份並刪除,Мод-файлы скопированы и удалены,모드 파일 백업 및 삭제됨,モッドファイルがバックアップされ削除されました
delete_mods_failed,删除模组文件失败,Failed to delete mod files,刪除模組檔案失敗,Не удалось удалить мод-файлы,모드 파일 삭제 실패,モッドファイルの削除に失敗しました
backup_mods_failed,备份模组文件失败,Failed to backup mod files,備份模組檔案失敗,Не удалось создать резервную копию мод-файлов,모드 파일 백업 실패,モッドファイルのバックアップに失敗しました
no_mods_detected_skip,未检测到模组文件，跳过步骤1,No mod files detected skipping step 1,未偵測到模組檔案，跳過步驟1,Мод-файлы не обнаружены, пропуск шага 1,모드 파일이 감지되지 않음, 1단계 건너뛰기,モッドファイルが検出されませんでした、ステップ1をスキップ
step1_failed,步骤1失败: {},Step 1 failed: {},步驟1失敗：{},Шаг 1 не удался：{},1단계 실패：{},ステップ1失敗：{}
step2_launch_launcher,【步骤2】启动启动器并获取参数,【Step 2】Launch launcher and get parameters,【步驟2】啟動啟動器並取得參數,【Шаг 2】Запуск лаунчера и получение параметров,【2단계】런처 시작 및 매개변수 가져오기,【ステップ2】ランチャーを起動してパラメータを取得
launcher_dir,启动器目录: {},Launcher directory: {},啟動器目錄：{},Каталог лаунчера：{},런처 디렉토리：{},ランチャーディレクトリ：{}
launcher_exe,启动器程序: {},Launcher executable: {},啟動器程式：{},Исполняемый файл лаунчера：{},런처 실행 파일：{},ランチャー実行ファイル：{}
starting_launcher,正在启动启动器...,Starting launcher...,正在啟動啟動器...,Запуск лаунчера...,런처 시작 중...,ランチャー起動中...
launcher_started,启动器已启动 (PID: {}),Launcher started (PID: {}),啟動器已啟動 (PID: {}),Лаунчер запущен (PID: {}),런처 시작됨 (PID: {}),ランチャーが起動しました (PID: {})
reminder_click_play,请在Tempo启动后自行点击PLAY启动游戏,Please click PLAY in Tempo launcher to start the game,Tempo啟動後請自行點擊PLAY啟動遊戲,После запуска Tempo нажмите PLAY для запуска игры,Tempo가 시작되면 PLAY를 클릭하여 게임을 시작하세요,Tempo起動後、PLAYをクリックしてゲームを開始してください
got_params_success,成功获取启动参数,Successfully obtained launch parameters,成功取得啟動參數,Параметры запуска успешно получены,시작 매개변수 가져오기 성공,起動パラメータの取得に成功
closing_game_process,正在关闭游戏进程...,Closing game process...,正在關閉遊戲進程...,Закрытие игрового процесса...,게임 프로세스 종료 중...,ゲームプロセスを終了中...
game_process_closed,✓ 已关闭游戏进程,✓ Game process closed,✓ 已關閉遊戲進程,✓ Игровой процесс закрыт,✓ 게임 프로세스 종료됨,✓ ゲームプロセスが終了しました
no_running_game_process,未找到运行中的游戏进程,No running game process found,未找到執行中的遊戲進程,Запущенный игровой процесс не найден,실행 중인 게임 프로세스를 찾을 수 없습니다,実行中のゲームプロセスが見つかりません
step2_complete,✓ 步骤2完成,✓ Step 2 complete,✓ 步驟2完成,✓ Шаг 2 завершен,✓ 2단계 완료,✓ ステップ2完了
step2_failed,步骤2失败: {},Step 2 failed: {},步驟2失敗：{},Шаг 2 не удался：{},2단계 실패：{},ステップ2失敗：{}
step3_restore_mods,【步骤3】恢复模组文件,【Step 3】Restore mod files,【步驟3】恢復模組檔案,【Шаг 3】Восстановление мод-файлов,【3단계】모드 파일 복원,【ステップ3】モッドファイルを復元
mods_restored_success,模组文件已恢复,Mod files restored,模組檔案已恢復,Мод-файлы восстановлены,모드 파일이 복원되었습니다,モッドファイルが復元されました
restore_mods_failed,恢复模组文件失败,Failed to restore mod files,恢復模組檔案失敗,Не удалось восстановить мод-файлы,모드 파일 복원 실패,モッドファイルの復元に失敗しました
no_need_restore_mods,无需恢复模组文件,No need to restore mod files,無需恢復模組檔案,Восстановление мод-файлов не требуется,모드 파일 복원 불필요,モッドファイルの復元は不要です
step3_failed,步骤3失败: {},Step 3 failed: {},步驟3失敗：{},Шаг 3 не удался：{},3단계 실패：{},ステップ3失敗：{}
step4_launch_game,【步骤4】使用参数启动游戏,【Step 4】Launch game with parameters,【步驟4】使用參數啟動遊戲,【Шаг 4】Запуск игры с параметрами,【4단계】매개변수로 게임 시작,【ステップ4】パラメータでゲームを開始
all_steps_complete,✅ 所有步骤完成！游戏已成功启动！,✅ All steps complete Game started successfully!,✅ 所有步驟完成！遊戲已成功啟動！,✅ Все шаги завершены！Игра успешно запущена！,✅ 모든 단계 완료！게임이 성공적으로 시작되었습니다！,✅ すべてのステップが完了！ゲームが正常に起動しました！
program_will_exit,程序即将退出...,Program will exit...,程式即將退出...,Программа закроется...,프로그램이 종료됩니다...,プログラムが終了します...
process_execute_failed,❌ 流程执行失败: {},❌ Process execution failed: {},❌ 流程執行失敗：{},❌ Ошибка выполнения процесса：{},❌ 프로세스 실행 실패：{},❌ プロセス実行失敗：{}
trying_cleanup,尝试清理并恢复状态...,Trying to cleanup and restore state...,嘗試清理並恢復狀態...,Попытка очистки и восстановления...,정리 및 복원 시도 중...,クリーンアップと復元を試みています...
process_error,执行失败: {},Execution failed: {},執行失敗：{},Ошибка выполнения：{},실행 실패：{},実行失敗：{}
select_game_dir,选择游戏目录,Select game directory,選擇遊戲目錄,Выбор каталога игры,게임 디렉토리 선택,ゲームディレクトリの選択
select_launcher_dir,选择启动器目录,Select launcher directory,選擇啟動器目錄,Выбор каталога лаунчера,런처 디렉토리 선택,ランチャーディレクトリの選択
language_setting_label,🌐 语言,🌐 Language,🌐 語言,🌐 Язык,🌐 언어,🌐 言語
error_title,错误,Error,錯誤,Ошибка,오류,エラー
game_path_set,游戏路径已设置: {},Game path set: {},遊戲路徑已設定：{},Путь к игре установлен：{},게임 경로 설정됨：{},ゲームパスが設定されました：{}
launcher_path_set,启动器目录已设置: {},Launcher directory set: {},啟動器目錄已設定：{},Каталог лаунчера установлен：{},런처 디렉토리 설정됨：{},ランチャーディレクトリが設定されました：{}
auto_detected,自动检测到: {},Auto detected: {},自動偵測到：{},Автоматически обнаружено：{},자동 감지됨：{},自動検出されました：{}
game_path_changed,游戏目录:,Game Directory:,遊戲目錄：,Каталог игры：,게임 디렉토리：,ゲームディレクトリ：
launcher_path_changed,启动器目录:,Launcher Directory:,啟動器目錄：,Каталог лаунчера：,런처 디렉토리：,ランチャーディレクトリ：
separator_line,=================================================,=================================================,=================================================,=================================================,=================================================,=================================================
step_separator,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
game_path_empty_hint,游戏目录为空,Game directory is empty,遊戲目錄為空,Каталог игры пуст,게임 디렉토리가 비어 있습니다,ゲームディレクトリが空です
launcher_path_empty_hint,启动器目录为空,Launcher directory is empty,啟動器目錄為空,Каталог лаунчера пуст,런처 디렉토리가 비어 있습니다,ランチャーディレクトリが空です
no_mod_files_skip_step1,未检测到模组文件,No mod files detected,未偵測到模組檔案,Мод-файлы не обнаружены,모드 파일이 감지되지 않음,モッドファイルが検出されませんでした
open_settings,⚙️ 捕获文件,⚙️ Capture Files,⚙️ 擷取檔案,⚙️ Захват файлов,⚙️ 파일 캡처,⚙️ ファイルキャプチャ
settings_title,📦 模组文件配置,📦 Mod Files Config,📦 模組檔案配置,📦 Настройка мод-файлов,📦 모드 파일 구성,📦 モッドファイル設定
mod_files_hint,📝 模组文件列表（点击编辑）:,📝 Mod Files List (click to edit):,📝 模組檔案列表（點擊編輯）：,📝 Список мод-файлов (нажмите для редактирования)：,📝 모드 파일 목록 (편집하려면 클릭)：,📝 モッドファイルリスト（クリックして編集）：
mod_files_help,每行填写一个文件或文件夹名称，不存在的文件会跳过，支持后缀识别文件类型，用于自动备份、删除和恢复模组,Enter one file/folder name per line non-existent items will be skipped supports file type detection by extension for mod backup/restore,每行填寫一個檔案或資料夾名稱，不存在的檔案會跳過，支援後綴識別檔案類型，用於自動備份、刪除和恢復模組,Вводите по одному имени файла или папки в строку, несуществующие файлы пропускаются, поддерживается определение типа файла по расширению для автоматического резервного копирования/удаления/восстановления модов,한 줄에 하나의 파일 또는 폴더 이름을 입력하고, 존재하지 않는 파일은 건너뛰며, 확장자로 파일 유형을 인식하여 모드의 자동 백업/삭제/복원을 지원합니다,1行に1つのファイルまたはフォルダ名を入力し、存在しないファイルはスキップされ、拡張子によるファイルタイプ認識をサポートしてモッドの自動バックアップ/削除/復元を行います
save_settings_btn,💾 保存配置,💾 Save Settings,💾 儲存設定,💾 Сохранить настройки,💾 설정 저장,💾 設定を保存
reset_default_btn,🔄 恢复默认,🔄 Reset to Default,🔄 恢復預設,🔄 Сбросить по умолчанию,🔄 기본값으로 재설정,🔄 デフォルトにリセット
reset_default_success,已恢复为默认配置,Restored to default configuration,已恢復為預設設定,Восстановлена конфигурация по умолчанию,기본 구성으로 복원됨,デフォルト設定に復元されました
back_btn,⬅️ 返回,⬅️ Back,⬅️ 返回,⬅️ Назад,⬅️ 뒤로,⬅️ 戻る
settings_saved,配置已保存,Settings saved,設定已儲存,Настройки сохранены,설정이 저장되었습니다,設定が保存されました
invalid_filename,文件名不合法: {},Invalid filename: {},檔案名稱不合法：{},Неверное имя файла：{},잘못된 파일명：{},無効なファイル名：{}
add_mod_item_hint,输入新文件名后按回车添加,Enter new filename and press Enter to add,輸入新檔案名稱後按Enter新增,Введите новое имя файла и нажмите Enter для добавления,새 파일 이름을 입력하고 Enter를 눌러 추가,新しいファイル名を入力してEnterで追加
launcher_launch_failed,启动器启动失败,Launcher launch failed,啟動器啟動失敗,Ошибка запуска лаунчера,런처 시작 실패,ランチャーの起動に失敗しました
delete_success,已删除: {},Deleted: {},已刪除：{},Удалено：{},삭제됨：{},削除されました：{}
invalid_executable_path,无效的可执行文件路径: {},Invalid executable path: {},無效的執行檔路徑：{},Недопустимый путь к исполняемому файлу: {},잘못된 실행 파일 경로: {},無効な実行可能ファイルパス：{}
invalid_working_dir,无效的工作目录: {},Invalid working directory: {},無效的工作目錄：{},Недопустимый рабочий каталог: {},잘못된 작업 디렉토리: {},無効な作業ディレクトリ：{}
launch_failed,启动失败: {},Launch failed: {},啟動失敗：{},Ошибка запуска: {},시작 실패: {},起動に失敗しました：{}
launch_requires_admin,启动 {} 需要管理员权限，请确认选择的是正常的 Tempo Launcher 主程序，若该程序本身被设置为“以管理员身份运行”则也会触发此错误,Launching {} requires administrator privileges. Make sure you selected the main Tempo Launcher executable. This can also happen if that executable is configured to always run as administrator.,啟動 {} 需要系統管理員權限，請確認選擇的是正常的 Tempo Launcher 主程式；若該程式被設定為以系統管理員身分執行也會出現此錯誤,Запуск {} требует прав администратора. Убедитесь, что выбран основной исполняемый файл Tempo Launcher. Это также может произойти, если для него включен запуск от имени администратора.,{} 실행에는 관리자 권한이 필요합니다. 일반적인 Tempo Launcher 메인 실행 파일을 선택했는지 확인하세요. 해당 실행 파일이 항상 관리자 권한으로 실행되도록 설정된 경우에도 이 오류가 발생할 수 있습니다.,{} の起動には管理者権限が必要です。通常の Tempo Launcher のメイン実行ファイルを選択しているか確認してください。その実行ファイル自体が常に管理者として実行される設定でもこのエラーが発生します
